PWSID,PWSName,State,CollectionDate,FacilityName,Size
010106001,Mashantucket Pequot Water System,01,9/27/2023,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,8/9/2023,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,10/10/2023,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,2/7/2024,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,1/10/2024,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,5/13/2024,MPTN WTP,L
010106001,Mashantucket Pequot Water System,01,4/3/2024,MPTN WTP,L
010109005,Mohegan Tribal Utility Authority,01,5/13/2024,Blended Tank,L
010109005,Mohegan Tribal Utility Authority,01,7/22/2024,Blended Tank,L
010109005,Mohegan Tribal Utility Authority,01,10/28/2024,Blended Tank,L
010109005,Mohegan Tribal Utility Authority,01,1/15/2025,Blended Tank,L
020000005,SAINT REGIS MOHAWK TRIBE,02,1/7/2025,Entry Point to the Distribution System after Treat,S
020000005,SAINT REGIS MOHAWK TRIBE,02,4/14/2025,Entry Point to the Distribution System after Treat,S
020000005,SAINT REGIS MOHAWK TRIBE,02,7/15/2025,Entry Point to the Distribution System after Treat,S
020000005,SAINT REGIS MOHAWK TRIBE,02,10/15/2025,Entry Point to the Distribution System after Treat,S
020000008,CATTARAUGUS CWS,02,1/31/2024,Richardson Road Wells Treatment,S
020000008,CATTARAUGUS CWS,02,7/23/2024,Richardson Road Wells Treatment,S
020000008,CATTARAUGUS CWS,02,1/31/2024,Connection to Erie County,S
020000008,CATTARAUGUS CWS,02,4/19/2024,Connection to Erie County,S
020000008,CATTARAUGUS CWS,02,7/23/2024,Connection to Erie County,S
020000008,CATTARAUGUS CWS,02,10/9/2024,Connection to Erie County,S
040000002,POARCH CREEK UTILITIES - WEST,04,4/5/2023,MAIN PLANT-WEST WELL#1,S
040000002,POARCH CREEK UTILITIES - WEST,04,10/3/2023,MAIN PLANT-WEST WELL#1,S
040000002,POARCH CREEK UTILITIES - WEST,04,1/9/2024,MAIN PLANT-WEST WELL#1,S
040000002,POARCH CREEK UTILITIES - WEST,04,4/5/2023,TULLIS TP - EAST WELL#2,S
040000002,POARCH CREEK UTILITIES - WEST,04,10/3/2023,TULLIS TP - EAST WELL#2,S
040000002,POARCH CREEK UTILITIES - WEST,04,1/9/2024,TULLIS TP - EAST WELL#2,S
043740039,CHEROKEE WATER SYSTEM,04,1/10/2023,Treatment Plant,S
043740039,CHEROKEE WATER SYSTEM,04,4/4/2023,Treatment Plant,S
043740039,CHEROKEE WATER SYSTEM,04,7/11/2023,Treatment Plant,S
043740039,CHEROKEE WATER SYSTEM,04,7/11/2023,Treatment Plant,S
043740039,CHEROKEE WATER SYSTEM,04,1/8/2024,Treatment Plant,S
043740039,CHEROKEE WATER SYSTEM,04,10/2/2023,Treatment Plant,S
050593203,SAGANING,05,2/3/2025,Saginaw-Midland Water Interconnection,S
050593203,SAGANING,05,6/3/2025,Saginaw-Midland Water Interconnection,S
050593203,SAGANING,05,5/5/2025,Saginaw-Midland Water Interconnection,S
050593203,SAGANING,05,8/4/2025,Saginaw-Midland Water Interconnection,S
055293201,MT. PLEASANT,05,3/12/2025,Treatment Plant,L
055293603,EAST BAY WATER WORKS,05,3/12/2024,Treatment Plant #1,S
055293603,EAST BAY WATER WORKS,05,9/17/2024,Treatment Plant #1,S
055293603,EAST BAY WATER WORKS,05,3/12/2024,Treatment Plant #2,S
055293603,EAST BAY WATER WORKS,05,9/17/2024,Treatment Plant #2,S
055293611,HANNAHVILLE COMMUNITY,05,5/6/2024,Hannahville Water Operations,S
055293611,HANNAHVILLE COMMUNITY,05,11/4/2024,Hannahville Water Operations,S
055293702,LITTLE RIVER TRIBAL WATER SYSTEM,05,5/22/2024,Treatment Plant #1,S
055293702,LITTLE RIVER TRIBAL WATER SYSTEM,05,11/4/2024,Treatment Plant #1,S
055294301,VINELAND,05,4/10/2023,VINELAND,S
055294301,VINELAND,05,10/9/2023,VINELAND,S
055294301,VINELAND,05,12/19/2023,VINELAND,S
055294502,PRAIRIE ISLAND,05,6/5/2023,PRAIRIE ISLAND,S
055294502,PRAIRIE ISLAND,05,5/8/2023,PRAIRIE ISLAND,S
055294502,PRAIRIE ISLAND,05,1/24/2024,PRAIRIE ISLAND,S
055294502,PRAIRIE ISLAND,05,11/8/2023,PRAIRIE ISLAND,S
055294503,LOWER SIOUX,05,3/19/2024,Treatment Plant #1,S
055294503,LOWER SIOUX,05,9/30/2024,Treatment Plant #1,S
055294506,SIOUX TRAIL,05,11/18/2024,Treatment Plant,L
055294506,SIOUX TRAIL,05,5/20/2025,Treatment Plant,L
055295003,SOUTH-CENTRAL WATER SYSTEM,05,6/5/2023,South Central Water System,S
055295003,SOUTH-CENTRAL WATER SYSTEM,05,12/6/2023,South Central Water System,S
055295401,LAC DU FLAMBEAU,05,6/11/2025,Downtown Pumphouse (Wells 9/10),S
055295401,LAC DU FLAMBEAU,05,6/11/2025,West Flambeau House (Wells 6/7/8),S
055295508,KESHENA,05,2/4/2025,Treatment Plant #1,S
055295508,KESHENA,05,8/11/2025,Treatment Plant #1,S
055295703,ONEIDA #1 OR SITE #1,05,5/7/2025,Site 1 well,S
055295703,ONEIDA #1 OR SITE #1,05,5/7/2025,Norbert Hill well,S
061000101,EASTERN SHAWNEE,06,3/3/2025,CL2 for Well 1,S
061000101,EASTERN SHAWNEE,06,9/8/2025,CL2 for Well 1,S
061020808,POTTAWATOMIE CO. RWD #3 (DALE PLANT),06,3/20/2023,POTTAWATOMIE CO. RWD #3 (DALE PLANT),S
061020808,POTTAWATOMIE CO. RWD #3 (DALE PLANT),06,9/11/2023,POTTAWATOMIE CO. RWD #3 (DALE PLANT),S
061620001,KICKAPOO TRADITIONAL TRIBE,06,2/4/2025,Connection,S
061620001,KICKAPOO TRADITIONAL TRIBE,06,6/18/2025,Connection,S
061620001,KICKAPOO TRADITIONAL TRIBE,06,5/6/2025,Connection,S
061620001,KICKAPOO TRADITIONAL TRIBE,06,8/6/2025,Connection,S
061800001,TUNICA-BILOXI TRIBE OF LA,06,5/14/2025,Booster Chlorinator,S
062004336,CHICKASAW WINSTAR,06,3/4/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,9/23/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,3/4/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,9/23/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,3/4/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,3/25/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,9/23/2024,CHICKASAW WINSTAR,S
062004336,CHICKASAW WINSTAR,06,6/26/2024,CHICKASAW WINSTAR 7,S
062004336,CHICKASAW WINSTAR,06,9/23/2024,CHICKASAW WINSTAR 7,S
062005840,QUAPAW DOWNSTREAM CASINO & RESORT,06,3/27/2024,Master Meter House,S
062005840,QUAPAW DOWNSTREAM CASINO & RESORT,06,6/18/2024,Master Meter House,S
062005840,QUAPAW DOWNSTREAM CASINO & RESORT,06,9/25/2024,Master Meter House,S
062005840,QUAPAW DOWNSTREAM CASINO & RESORT,06,12/4/2024,Master Meter House,S
063500120,SANTO DOMINGO PUEBLO,06,7/22/2024,SANTO DOMINGO PUEBLO,S
063500120,SANTO DOMINGO PUEBLO,06,6/12/2024,SANTO DOMINGO PUEBLO,S
063500120,SANTO DOMINGO PUEBLO,06,11/20/2024,SANTO DOMINGO PUEBLO,S
063500191,TAOS PUEBLO,06,5/20/2025,CL2 for Well 1 and 2,S
063500191,TAOS PUEBLO,06,5/20/2025,CL2 for Well 3 and 4,S
063501100,POJOAQUE SOUTH,06,4/10/2024,POJOAQUE SOUTH W2,S
063501100,POJOAQUE SOUTH,06,10/15/2024,POJOAQUE SOUTH W2,S
063501100,POJOAQUE SOUTH,06,4/10/2024,POJOAQUE SOUTH W6,S
063501100,POJOAQUE SOUTH,06,10/15/2024,POJOAQUE SOUTH W6,S
063501109,ISLETA EASTSIDE,06,3/4/2025,ISLETA EASTSIDE,S
063501109,ISLETA EASTSIDE,06,9/9/2025,ISLETA EASTSIDE,S
063501124,ZUNI PUEBLO,06,6/26/2024,ZUNI PUEBLO,L
063501124,ZUNI PUEBLO,06,12/15/2024,ZUNI PUEBLO,L
063503109,ISLETA SHEA-WHIFF,06,1/9/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,7/12/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,9/5/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,1/9/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,9/19/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,7/12/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,1/9/2023,Treatment Plant,S
063503109,ISLETA SHEA-WHIFF,06,8/14/2023,Treatment Plant,S
063503111,LAGUNA VALLEY,06,2/22/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,10/17/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,8/22/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,2/22/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,8/22/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,10/17/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,2/22/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,10/17/2023,LAGUNA VALLEY,S
063503111,LAGUNA VALLEY,06,8/22/2023,LAGUNA VALLEY,S
063503115,SAN FELIPE BLACK MESA CASINO,06,1/17/2023,Treatment Plant,S
