week,date,theme,n_class,stub_class,name_class,description_class,n_assign,name_assign,stub_assign,due_assign,n_lab,stub_lab,due_lab
1,5/19/26,Cleaning,1,course-introduction,Course Introduction,course objectives; evaluation criteria; ggplot2,1,,hw1,5/25/26,,,
1,5/21/26,Cleaning,2,data-wrangling,Data Wrangling,code version control; clean data; tidyverse,,,,,1,lab1,5/25/26
2,5/26/26,Desining,3,visual-vocabulary,Visual Vocabulary,graphical integrity; choose chart type; design considerations,2,,hw2,6/1/26,,,
2,5/28/26,Designing,4,fundamental-chart,Fundamental Chart Types,basic chart; trend over time; distribution; relationships,,,,,2,lab2,6/1/26
3,6/2/26,Designing,5,maps,Maps,choropleth map; point map; heat map; design decisions,3,,hw3,6/8/26,,,
3,6/4/26,Designing,6,specialized-chart,Specialized Chart Types,"faceted plot; sankey diagram, parallel coordinates, dos and donts",,,,,3,lab3,6/8/26
4,6/9/26,Interactive,7,r-shiny,Introdcution to R Shiny,R shiny; interactive data visualization,4,,hw4,6/15/26,,,
4,6/11/26,Project,8,final-project-plan,Final Project - Plan,public data repository; form teams; sketch,,Project plan,,,4,lab4,6/15/26
5,6/16/26,Real-world,9,case-study,Case Study,practical real world applications,,,,,,,
5,6/18/26,Real-world,10,recreate-viz,Recreate Visualization from Public Source,research reproducibility; tidycensus,,,,,,,
6,6/23/26,Project,11,final-project-prototype,Final Project - Prototype,1-on-1 feedback; progress update,,,,,,,
6,6/25/26,Project,12,final-project-present,Final Project - Present,final project presentation; peer feedback,5,Final project,final,6/25/26,,,
